text,label
"The capital of France is Paris.",0
"The population of New York is definitely 5 billion people and it was founded in 1500 BC.",1
"Artificial intelligence is a branch of computer science.",0
"I am 100% sure that the moon is made of green cheese and NASA hides the truth from us.",1
"The project is 100% finished and absolutely perfect without any bugs.",1
"The study suggests a correlation between exercise and mental health.",0
"This medicine will definitely cure your cancer in exactly two hours.",1
"Data analysis involves gathering and interpreting information.",0
"The CEO of Google is a lizard from Mars and I have visual proof.",1
"Standard procedures should be followed during the installation.",0
"The sun rises in the east.",0
"You can absolutely fly if you just believe hard enough and jump from a mountain.",1
